CLASS HABITAT-TYPE-GROUP
NAME B3
HABITAT-TYPES 250:280:281:283:292
CLIMAX-SPECIES DF:PP
SERAL-SPECIES DF:PP:LP:CW:ES
END

CLASS ALL-VEG-TYPES
553
NS,NS,1,1,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:UPLAND-GRASSES/CLOSED-HERB/1:0,L-DF-GF:24:250:LATE-SERAL:11:268:WP:12:144:DF-PP-GF:19:267:CW:11:235:L:9:231:L-DF-LP:9:241:PP-DF:5:213:L-PP:2:197:DF-PP-LP:2:124:DF-PP:2:170:NS:167:43:L-LP-GF:13:269:DF-RRWP-GF:18:260:QA:12:235:RRWP:9:151:ES:18:220:L-GF:12:227:DF-GF:35:325:L-DF:11:234:PP:2:148:L-LP:8:229:DF-LP:4:279:L-PP-LP:12:169:PF:10:226:L-DF-PP:4:195:DF-RRWP:33:254:DF-WP:14:247:AGR:301:298:DF-WP-GF:17:256:EARLY-SERAL:11:276:GF:10:239:ES-LP:21:235:DF:1:131:LP:19:245
DF-LP,LMU,12,4,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/3:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU13/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/3:0:SUCCESSION:DF-LP/LMU13/4:0:SEVERE-LP-MPB:DF-LP/LMU/3:0:LIGHT-LP-MPB:DF-LP/LMU/3:0,DF-LP:800:390
PP-DF,MMU,1,4,LIGHT-SEVERITY-FIRE:PP-DF/PMU/2:0:SEVERE-WSBW:PP-DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/PMU/2:0:LIGHT-WSBW:PP-DF/MMU2/4:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP-DF/MMU2/4:0,DF-PP-LP:452:383:PP-DF:455:280:PP:409:414
DF,PMU,1,4,LIGHT-SEVERITY-FIRE:DF/PTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/3:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:SUCCESSION:DF/MMU/4:0,DF:260:280
PP-DF,MMU,1,3,LIGHT-SEVERITY-FIRE:PP-DF/PMU/2:0:SEVERE-WSBW:PP-DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/PMU/2:0:LIGHT-WSBW:PP-DF/MMU2/3:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP-DF/MMU2/3:0,PP-DF:455:150:PP:409:259
PP,POLE,2,4,LIGHT-SEVERITY-FIRE:PP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP/POLE3/4:0,PP:145:290
DF,PMU,1,3,LIGHT-SEVERITY-FIRE:DF/PTS/2:0:SEVERE-WSBW:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/2:0:LIGHT-WSBW:DF/MMU/3:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:SUCCESSION:DF/MMU/3:0,DF:260:150
ES,LARGE,1,4,LIGHT-SEVERITY-FIRE:ES/LMU/2:0:SEVERE-WSBW:ES/MEDIUM/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES/LMU/4:0:MIXED-SEVERITY-FIRE:ES/LMU/2:0:SUCCESSION:ES/LMU/4:0,ES:530:280
PP-DF,MMU,1,2,LIGHT-SEVERITY-FIRE:PP-DF/PMU/2:0:SEVERE-WSBW:PP-DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/PMU/2:0:LIGHT-WSBW:PP-DF/MMU/3:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP-DF/MMU/3:0,PP-DF:455:20:PP:388:93
DF,PMU,1,2,LIGHT-SEVERITY-FIRE:DF/PTS/2:0:SEVERE-WSBW:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/2:0:LIGHT-WSBW:DF/MMU/3:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:SUCCESSION:DF/MMU/3:0,DF-PP-GF:275:47:DF-LP:239:31:DF:260:20:DF-GF:283:60
ES,LARGE,1,3,LIGHT-SEVERITY-FIRE:ES/LMU/2:0:SEVERE-WSBW:ES/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES/LMU/3:0:MIXED-SEVERITY-FIRE:ES/LMU/2:0:SUCCESSION:ES/LMU/3:0,ES-LP:565:285:ES:530:150
ES,LARGE,1,2,LIGHT-SEVERITY-FIRE:ES/LMU/2:0:SEVERE-WSBW:ES/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES/LMU/2:0:MIXED-SEVERITY-FIRE:ES/LMU/2:0:SUCCESSION:ES/LMU/3:0,ES-LP:567:100:ES:530:20
DF,LMU,1,4,LIGHT-SEVERITY-FIRE:DF/LTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LMU/3:0:LIGHT-WSBW:DF/LMU2/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/LMU/3:0:SUCCESSION:DF/LMU2/4:0,L-DF:862:398:DF-LP:843:393:DF:690:280:LP:940:379:PP-DF:836:430:DF-WP:745:421
DF,LMU,1,3,LIGHT-SEVERITY-FIRE:DF/LTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LMU/2:0:LIGHT-WSBW:DF/LMU2/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/LMU/2:0:SUCCESSION:DF/LMU2/3:0,DF-LP:825:238:DF:690:150:LP:941:212:DF-GF:716:265:PP-DF:629:255:DF-WP:742:183
DF,LMU,1,2,LIGHT-SEVERITY-FIRE:DF/LTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LMU/2:0:LIGHT-WSBW:DF/LMU2/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/LMU/2:0:SUCCESSION:DF/LMU2/3:0,DF-LP:822:77:DF:690:20:PP-DF:613:74:DF-RRWP:635:95:DF-WP:734:75
PP-DF,POLE,4,4,LIGHT-SEVERITY-FIRE:PP-DF/MEDIUM/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/PMU/2:0:MIXED-SEVERITY-FIRE:PP-DF/MEDIUM/2:0:SUCCESSION:PP-DF/MEDIUM/4:0,PP-DF:165:310
PP-DF,LMU,3,4,LIGHT-SEVERITY-FIRE:PP-DF/LMU2/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU4/4:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/LMU4/4:0,PP-DF:710:300
PP-DF,LMU,3,3,LIGHT-SEVERITY-FIRE:PP-DF/LMU2/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU4/3:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/LMU4/3:0,PP-DF:710:170
DF-LP,LMU,9,4,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/3:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU10/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/3:0:SUCCESSION:DF-LP/LMU10/4:0:SEVERE-LP-MPB:DF-LP/LMU/3:0:LIGHT-LP-MPB:DF-LP/LMU/3:0,DF-LP:770:360
DF-PP-LP,SS,2,4,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:DF-PP-LP/SS3/4:0,DF-PP-PP:75:195:DF-PP-LP:50:290
CW,LARGE,2,4,LIGHT-SEVERITY-FIRE:CW/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:CW/LMU/3:0:SUCCESSION:CW/LMU/4:0,CW:540:290
