CLASS HABITAT-TYPE-GROUP
NAME B1
HABITAT-TYPES 170:171:172:320:322:323:324:330:350:370
CLIMAX-SPECIES DF:PP
SERAL-SPECIES DF:PP:LP:L:CW:MC
END

CLASS ALL-VEG-TYPES
947
AGR,AGR,1,1,SUCCESSION:NATIVE-FORBS/OPEN-HERB/1:0:MIXED-SEVERITY-FIRE:AGR/AGR/1:0:STAND-REPLACING-FIRE:AGR/AGR/1:0:LIGHT-SEVERITY-FIRE:AGR/AGR/1:0,AGR:108:30:NS:37:219
PP,VLMU,1,4,SUCCESSION:PP/VLMU/4:0:PP-MPB:PP/LMU/2:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/VLMU/3:0,PP:955:280
PP,VLMU,1,3,SUCCESSION:PP/VLMU/4:0:PP-MPB:PP/LMU/2:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/VLMU/3:0,PP:955:150
PP,VLMU,1,2,SUCCESSION:PP/VLMU/3:0:PP-MPB:PP/LMU/2:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/VLMU/2:0,PP:955:20
PP-DF,PTS,1,4,SUCCESSION:PP-DF/PMU/4:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/POLE/2:0,DF:252:283:PP-DF:180:280
PP-DF,PTS,1,3,SUCCESSION:PP-DF/PTS2/3:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/POLE/2:0,PP-DF:180:150:PP:180:259
PP-DF,PTS,1,2,SUCCESSION:PP-DF/PTS2/2:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/POLE/2:0,PP-DF:180:20:PP:179:83
CW-MC,LARGE,1,4,SUCCESSION:CW-MC/LARGE2/4:0:MIXED-SEVERITY-FIRE:L-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:LIGHT-SEVERITY-FIRE:L-DF/SS/3:0,CW-MC:530:280
PP,PMU,1,4,SUCCESSION:PP/MMU/4:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/PTS/2:0,PP:260:280
CW-MC,LARGE,1,3,SUCCESSION:CW-MC/LARGE2/4:0:MIXED-SEVERITY-FIRE:L-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:LIGHT-SEVERITY-FIRE:L-DF/SS/3:0,CW-MC:530:150
PP,PMU,1,3,SUCCESSION:PP-DF/MMU/3:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/PTS/2:0,PP:260:150
CW-MC,LARGE,1,2,SUCCESSION:CW-MC/LARGE2/3:0:MIXED-SEVERITY-FIRE:L-DF/SS/2:0:STAND-REPLACING-FIRE:CW-MC/SS/2:0:LIGHT-SEVERITY-FIRE:L-DF/SS/2:0,CW-MC:530:20
LP,MEDIUM,5,3,SUCCESSION:LP/LTS/3:0:LIGHT-LP-MPB:LP/MEDIUM/3:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:LP/LTS5/3:0:SEVERE-LP-MPB:NATIVE-FORBS/OPEN-HERB/1:0,LP:355:190
